model,image_name,image_type,true_object,pred_object,vlm_answer,sim_to_grey,sim_to_color,correct,quality
GPT-5.5,0083g.png,grey,bottle,bottle,bottle,1.0000001192092896,0.25353512167930603,True,L
GPT-5.5,0083c.png,color,kingfisher,bottle,,0.32884204387664795,0.28051942586898804,False,L
GPT-5.5,0098g.png,grey,flower,flower,flower,1.0000001192092896,0.477042019367218,True,H
GPT-5.5,0098c.png,color,bird,bird,,0.22306324541568756,0.2782021164894104,True,H
GPT-5.5,0100g.png,grey,mushroom,mushroom,,0.229142427444458,0.16824455559253693,True,L
GPT-5.5,0100c.png,color,manatee,mushroom,,0.229142427444458,0.16824455559253693,False,L
GPT-5.5,0117g.png,grey,vase,vase,vase,1.0000001192092896,0.1935184895992279,True,M
GPT-5.5,0117c.png,color,iguana,vase,,0.2327970564365387,0.1681782454252243,False,M
GPT-5.5,0118g.png,grey,cup,cup,,0.41000252962112427,0.30493029952049255,True,L
GPT-5.5,0118c.png,color,gecko,cup,,0.41000252962112427,0.30493029952049255,False,L
GPT-5.5,0132g.png,grey,drum,drum,,0.3069549798965454,0.23970571160316467,True,M
GPT-5.5,0132c.png,color,jellyfish,jellyfish,jellyfish,0.30311790108680725,1.0000001192092896,True,M
GPT-5.5,0150g.png,grey,mountain,kitten,kitten,0.35129621624946594,1.0,False,M
GPT-5.5,0150c.png,color,kitten,kitten,,0.269178569316864,0.3341177701950073,True,M
GPT-5.5,0159g.png,grey,pear,pear,,0.2633572518825531,0.2452414482831955,True,L
GPT-5.5,0162g.png,grey,violin,violin,violin,1.0000001192092896,0.15240025520324707,True,L
GPT-5.5,0162c.png,color,eagle,violin,violin,1.0000001192092896,0.15240025520324707,False,L
GPT-5.5,0175g.png,grey,tulip,tulip,,0.311443954706192,0.30991652607917786,True,L
GPT-5.5,0175c.png,color,moose,tulip,,0.311443954706192,0.30991652607917786,False,L
GPT-5.5,0196g.png,grey,candle,fish,,0.25361257791519165,0.28744736313819885,False,L
GPT-5.5,0197g.png,grey,vase,vase,,0.2327970564365387,0.1681782454252243,True,L
GPT-5.5,0197c.png,color,iguana,iguana,iguana,0.1935184895992279,1.0,True,L
GPT-5.5,0209g.png,grey,twig,leopard,,0.25021904706954956,0.3159732222557068,False,M
GPT-5.5,0209c.png,color,leopard,leopard,leopard,0.28675010800361633,1.0000001192092896,True,M
GPT-5.5,0244g.png,grey,temple,temple,temple,1.0,0.22897401452064514,True,L
GPT-5.5,0244c.png,color,alpaca,temple,,0.24535995721817017,0.23860764503479004,False,L
GPT-5.5,0269g.png,grey,onion,onion,onion,1.0000001192092896,0.30762559175491333,True,L
GPT-5.5,0269c.png,color,pelican,pelican,,0.23147770762443542,0.2708127498626709,True,L
GPT-5.5,0291g.png,grey,branch,branch,,0.2855691909790039,0.27791574597358704,True,L
GPT-5.5,0291c.png,color,rabbit,branch,,0.2855691909790039,0.27791574597358704,False,L
GPT-5.5,0293g.png,grey,cone,cone,,0.280935674905777,0.2782021164894104,True,M
GPT-5.5,0293c.png,color,bird,bird,bird,0.31859469413757324,1.0000001192092896,True,M
GPT-5.5,0333g.png,grey,cloud,turtle,turtle,0.3789674937725067,1.000000238418579,False,L
GPT-5.5,0333c.png,color,turtle,turtle,turtle,0.3789674937725067,1.000000238418579,True,L
GPT-5.5,0339g.png,grey,banana,banana,,0.3152996897697449,0.27358219027519226,True,M
GPT-5.5,0339c.png,color,frog,banana,,0.3152996897697449,0.27358219027519226,False,M
GPT-5.5,0347g.png,grey,carrot,carrot,,0.3315981924533844,0.2782021164894104,True,L
GPT-5.5,0347c.png,color,bird,carrot,,0.3315981924533844,0.2782021164894104,False,L
GPT-5.5,0379g.png,grey,vase,monkey,,0.2327970564365387,0.35458678007125854,False,H
GPT-5.5,0379c.png,color,monkey,monkey,,0.2327970564365387,0.35458678007125854,True,H
GPT-5.5,0400g.png,grey,tree,rooster,,0.2648976445198059,0.32912924885749817,False,L
GPT-5.5,0400c.png,color,rooster,rooster,,0.2648976445198059,0.32912924885749817,True,L
GPT-5.5,0403g.png,grey,bottle,bottle,,0.32884204387664795,0.2782021164894104,True,H
GPT-5.5,0403c.png,color,bird,bird,bird,0.37846970558166504,1.0000001192092896,True,H
GPT-5.5,0465g.png,grey,hut,hut,,0.2934998869895935,0.25552430748939514,True,L
GPT-5.5,0465c.png,color,lobster,lobster,lobster,0.23344895243644714,1.0000001192092896,True,L
GPT-5.5,0524g.png,grey,tree,squid,,0.2648976445198059,0.27010828256607056,False,M
GPT-5.5,0524c.png,color,squid,squid,,0.2648976445198059,0.27010828256607056,True,M
GPT-5.5,0536g.png,grey,torch,bird,,0.2658661901950836,0.2782021164894104,False,M
GPT-5.5,0536c.png,color,bird,bird,bird,0.2436860203742981,1.0000001192092896,True,M
GPT-5.5,0552g.png,grey,mask,mask,,0.3240286111831665,0.21472786366939545,True,H
GPT-5.5,0552c.png,color,ladybug,mask,,0.3240286111831665,0.21472786366939545,False,H
GPT-5.5,0553g.png,grey,drum,drum,,0.3069549798965454,0.2757103443145752,True,M
GPT-5.5,0553c.png,color,turtle,turtle,turtle,0.38497093319892883,1.000000238418579,True,M
GPT-5.5,0618g.png,grey,plum,whale,,0.21349643170833588,0.2814750671386719,False,L
GPT-5.5,0618c.png,color,whale,whale,,0.21349643170833588,0.2814750671386719,True,L
GPT-5.5,0620g.png,grey,apple,apple,,0.27628883719444275,0.2757103443145752,True,L
GPT-5.5,0620c.png,color,turtle,apple,,0.27628883719444275,0.2757103443145752,False,L
GPT-5.5,0623g.png,grey,pumpkin,pumpkin,,0.28287214040756226,0.21696431934833527,True,M
GPT-5.5,0623c.png,color,crane,crane,crane,0.26359131932258606,1.0000001192092896,True,M
GPT-5.5,0684g.png,grey,rose,rooster,,0.28421059250831604,0.32912924885749817,False,H
GPT-5.5,0684c.png,color,rooster,rooster,rooster,0.3249112069606781,0.9999999403953552,True,H
GPT-5.5,0685g.png,grey,flower,fish,,0.22306324541568756,0.28744736313819885,False,M
GPT-5.5,0685c.png,color,fish,fish,fish,0.3126418888568878,1.0000001192092896,True,M
GPT-5.5,0700g.png,grey,tree,fox,,0.2648976445198059,0.31055429577827454,False,M
GPT-5.5,0700c.png,color,fox,fox,fox,0.3380482792854309,1.0000001192092896,True,M
GPT-5.5,0722g.png,grey,pear,llama,,0.2633572518825531,0.2796522080898285,False,L
GPT-5.5,0722c.png,color,llama,llama,,0.2633572518825531,0.2796522080898285,True,L
GPT-5.5,0730g.png,grey,hill,hill,,0.2576705515384674,0.24341949820518494,True,H
GPT-5.5,0730c.png,color,koala,hill,,0.2576705515384674,0.24341949820518494,False,H
GPT-5.5,0738g.png,grey,pagoda,squid,,0.2118888944387436,0.27010828256607056,False,H
GPT-5.5,0738c.png,color,squid,squid,,0.2118888944387436,0.27010828256607056,True,H
GPT-5.5,0763g.png,grey,cup,cup,,0.41000252962112427,0.18295098841190338,True,L
GPT-5.5,0763c.png,color,chameleon,cup,,0.41000252962112427,0.18295098841190338,False,L
GPT-5.5,0770g.png,grey,plume,bird,,0.24000342190265656,0.2782021164894104,False,H
GPT-5.5,0770c.png,color,bird,bird,bird,0.37257784605026245,1.0000001192092896,True,H
GPT-5.5,0777g.png,grey,pine,sloth,,0.2273259460926056,0.2642044425010681,False,L
GPT-5.5,0777c.png,color,sloth,sloth,,0.2273259460926056,0.2642044425010681,True,L
GPT-5.5,0785g.png,grey,rose,rose,rose,1.0,0.32906657457351685,True,M
GPT-5.5,0785c.png,color,bird,rose,,0.28421059250831604,0.2782021164894104,False,M
GPT-5.5,0792g.png,grey,church,frog,,0.23499147593975067,0.27358219027519226,False,M
GPT-5.5,0792c.png,color,frog,frog,,0.23499147593975067,0.27358219027519226,True,M
GPT-5.5,0795c.png,color,otter,otter,,0.21933981776237488,0.29715657234191895,True,L
GPT-5.5,0810g.png,grey,crow,peacock,peacock,0.39774277806282043,1.000000238418579,False,M
GPT-5.5,0810c.png,color,peacock,peacock,peacock,0.39774277806282043,1.000000238418579,True,M
GPT-5.5,0840g.png,grey,valley,bird,,0.2624063491821289,0.2782021164894104,False,L
GPT-5.5,0841g.png,grey,dunes,duck,,0.17750316858291626,0.34250736236572266,False,L
GPT-5.5,0853g.png,grey,mushroom,mushroom,mushroom,0.9999999403953552,0.3524205982685089,True,L
GPT-5.5,0853c.png,color,garden,mushroom,,0.229142427444458,0.22290430963039398,False,L
GPT-5.5,0874g.png,grey,scarecrow,scarecrow,scarecrow,1.0,0.3467557430267334,True,L
GPT-5.5,0874c.png,color,hummingbird,scarecrow,,0.22076508402824402,0.1738746464252472,False,L
GPT-5.5,0883g.png,grey,paper,paper,,0.3392038941383362,0.24648907780647278,True,L
GPT-5.5,0883c.png,color,birds,paper,,0.3392038941383362,0.24648907780647278,False,L
GPT-5.5,0885g.png,grey,mirror,mirror,,0.33193835616111755,0.25109192728996277,True,H
GPT-5.5,0885c.png,color,lanterns,mirror,,0.33193835616111755,0.25109192728996277,False,H
GPT-5.5,0890g.png,grey,person,macaw,,0.3115461468696594,0.33135780692100525,False,M
GPT-5.5,0890c.png,color,macaw,macaw,,0.3115461468696594,0.33135780692100525,True,M
GPT-5.5,0911g.png,grey,fruit,fruit,fruit,1.0000001192092896,0.3270251750946045,True,L
GPT-5.5,0911c.png,color,shark,shark,,0.26632431149482727,0.3084716498851776,True,L
GPT-5.5,0919g.png,grey,net,net,,0.2978879511356354,0.26383325457572937,True,M
GPT-5.5,0919c.png,color,toucan,net,,0.2978879511356354,0.26383325457572937,False,M
GPT-5.5,0928g.png,grey,eggshell,tiger,,0.20226746797561646,0.32997599244117737,False,L
GPT-5.5,0928c.png,color,tiger,tiger,,0.20226746797561646,0.32997599244117737,True,L
GPT-5.5,0940g.png,grey,skyline,skyline,,0.26004359126091003,0.24592317640781403,True,L
GPT-5.5,0940c.png,color,reef,skyline,,0.26004359126091003,0.24592317640781403,False,L
GPT-5.5,0960g.png,grey,armchair,macaw,,0.2356278896331787,0.33135780692100525,False,L
GPT-5.5,0960c.png,color,macaw,macaw,macaw,0.17907287180423737,1.0,True,L
GPT-5.5,0970g.png,grey,shears,shears,,0.21416985988616943,0.14570054411888123,True,L
GPT-5.5,0970c.png,color,sunflower,shears,,0.21416985988616943,0.14570054411888123,False,L
GPT-5.5,0997g.png,grey,receipt,receipt,receipt,1.0000001192092896,0.21886485815048218,True,L
GPT-5.5,0997c.png,color,bird,bird,,0.25435158610343933,0.2782021164894104,True,L
GPT-5.5,1000g.png,grey,pebbles,pebbles,,0.22566866874694824,0.22290430963039398,True,M
GPT-5.5,1000c.png,color,garden,pebbles,,0.22566866874694824,0.22290430963039398,False,M
GPT-5.5,1006g.png,grey,cave,cave,,0.27663400769233704,0.25773364305496216,True,L
GPT-5.5,1006c.png,color,jungle,cave,,0.27663400769233704,0.25773364305496216,False,L
GPT-5.5,1008g.png,grey,cliff,cliff,cliff,1.0,0.23112492263317108,True,L
GPT-5.5,1008c.png,color,flower,cliff,,0.27435174584388733,0.22306324541568756,False,L
GPT-5.5,1010g.png,grey,door,toucan,toucan,0.24924445152282715,0.9999999403953552,False,L
GPT-5.5,1010c.png,color,toucan,door,,0.34892603754997253,0.26383325457572937,False,L
GPT-5.5,1034g.png,grey,door,door,,0.34892603754997253,0.24648907780647278,True,L
GPT-5.5,1034c.png,color,birds,door,,0.34892603754997253,0.24648907780647278,False,L
GPT-5.5,1040g.png,grey,coal,coal,,0.22957459092140198,0.18791036307811737,True,H
GPT-5.5,1042g.png,grey,pavement,pavement,,0.2677222788333893,0.22306324541568756,True,L
GPT-5.5,1042c.png,color,flower,pavement,,0.2677222788333893,0.22306324541568756,False,L
GPT-5.5,1057g.png,grey,sticks,flower,flower,0.26882514357566833,1.0000001192092896,False,L
GPT-5.5,1057c.png,color,flower,flower,flower,0.26882514357566833,1.0000001192092896,True,L
GPT-5.5,1058g.png,grey,stones,mandala,,0.25284114480018616,0.28337153792381287,False,L
GPT-5.5,1058c.png,color,mandala,mandala,,0.25284114480018616,0.28337153792381287,True,L
GPT-5.5,1076g.png,grey,sock,sweater,sweater,0.42662161588668823,1.0000001192092896,False,M
GPT-5.5,1076c.png,color,sweater,sock,,0.2836250066757202,0.2581343352794647,False,M
GPT-5.5,1100g.png,grey,owl,macaw,,0.2475341409444809,0.33135780692100525,False,L
GPT-5.5,1100c.png,color,macaw,macaw,,0.2475341409444809,0.33135780692100525,True,L
GPT-5.5,1101g.png,grey,bear,tiger,,0.28340592980384827,0.32997599244117737,False,M
GPT-5.5,1101c.png,color,tiger,tiger,tiger,0.41739335656166077,1.0000001192092896,True,M
GPT-5.5,1102g.png,grey,wolf,fox,,0.281904935836792,0.31055429577827454,False,L
GPT-5.5,1102c.png,color,fox,fox,,0.281904935836792,0.31055429577827454,True,L
GPT-5.5,1104g.png,grey,gorilla,orangutan,orangutan,0.4934632480144501,1.0,False,L
GPT-5.5,1104c.png,color,orangutan,gorilla,,0.2984582781791687,0.17989297211170197,False,L
GPT-5.5,1114g.png,grey,crow,jay,,0.2780223786830902,0.36769774556159973,False,L
GPT-5.5,1114c.png,color,jay,jay,,0.2780223786830902,0.36769774556159973,True,L
GPT-5.5,1214g.png,grey,hurricane,rainbow,rainbow,0.36278170347213745,1.0,False,L
GPT-5.5,1214c.png,color,rainbow,rainbow,rainbow,0.36278170347213745,1.0,True,L
GPT-5.5,1230g.png,grey,moth,butterfly,,0.23703838884830475,0.261519193649292,False,L
GPT-5.5,1230c.png,color,butterfly,butterfly,,0.23703838884830475,0.261519193649292,True,L
GPT-5.5,1607g.png,grey,frost,box,,0.22817610204219818,0.30583083629608154,False,M
GPT-5.5,1607c.png,color,box,box,box,0.3270372748374939,1.0000001192092896,True,M
GPT-5.5,1612g.png,grey,asparagus,fish,,0.16050809621810913,0.28744736313819885,False,L
GPT-5.5,1612c.png,color,fish,fish,,0.16050809621810913,0.28744736313819885,True,L
GPT-5.5,1624g.png,grey,river,storm,,0.2312001883983612,0.2816299796104431,False,L
GPT-5.5,1624c.png,color,storm,storm,,0.2312001883983612,0.2816299796104431,True,L
GPT-5.5,1629g.png,grey,tornado,tornado,,0.21781496703624725,0.16396786272525787,True,L
GPT-5.5,1629c.png,color,elderberry,elderberry,elderberry,0.1619669497013092,1.0000001192092896,True,L
GPT-5.5,1631g.png,grey,dog,dog,dog,1.0000001192092896,0.39062464237213135,True,L
GPT-5.5,1631c.png,color,toad,dog,,0.31820711493492126,0.27512139081954956,False,L
GPT-5.5,1635g.png,grey,table,switch,,0.19368447363376617,0.3120218515396118,False,M
GPT-5.5,1635c.png,color,switch,switch,,0.19368447363376617,0.3120218515396118,True,M
GPT-5.5,1638g.png,grey,mop,tomato,,0.2890557050704956,0.3084123730659485,False,M
GPT-5.5,1638c.png,color,tomato,tomato,tomato,0.20712335407733917,1.0000001192092896,True,M
GPT-5.5,1641g.png,grey,coffee,bow,,0.2957264482975006,0.333912193775177,False,L
GPT-5.5,1645g.png,grey,cat,cat,,0.3563899099826813,0.22890108823776245,True,M
GPT-5.5,1645c.png,color,ocean,cat,,0.3563899099826813,0.22890108823776245,False,M
GPT-5.5,1653g.png,grey,alligator,alligator,,0.3037162125110626,0.24576474726200104,True,L
GPT-5.5,1653c.png,color,keyboard,alligator,alligator,1.0000001192092896,0.18686245381832123,False,L
GPT-5.5,1658g.png,grey,teddy,fox,,0.2357129603624344,0.31055429577827454,False,M
GPT-5.5,1658c.png,color,fox,fox,,0.2357129603624344,0.31055429577827454,True,M
GPT-5.5,1666g.png,grey,orange,orange,,0.3187337815761566,0.2758895754814148,True,L
GPT-5.5,1666c.png,color,wine,wine,wine,0.42233213782310486,1.0,True,L
GPT-5.5,1668g.png,grey,teddy,ipod,ipod,0.2502748668193817,1.0,False,L
GPT-5.5,1668c.png,color,ipod,teddy,,0.2357129603624344,0.22219625115394592,False,L
GPT-5.5,1669g.png,grey,shoe,shoe,shoe,1.000000238418579,0.38359227776527405,True,M
GPT-5.5,1669c.png,color,banana,shoe,,0.32591643929481506,0.3152996897697449,False,M
GPT-5.5,1672g.png,grey,horse,truck,,0.28580430150032043,0.315507173538208,False,L
GPT-5.5,1674g.png,grey,parsnip,jicama,,0.26531073451042175,0.2895299196243286,False,H
GPT-5.5,1674c.png,color,jicama,jicama,,0.26531073451042175,0.2895299196243286,True,H
GPT-5.5,1678g.png,grey,pillow,tree,,0.26035603880882263,0.2648976445198059,False,L
GPT-5.5,1678c.png,color,tree,tree,,0.26035603880882263,0.2648976445198059,True,L
GPT-5.5,1702g.png,grey,purse,purse,purse,1.0000001192092896,0.26907655596733093,True,L
GPT-5.5,1702c.png,color,avocado,purse,,0.2868877351284027,0.1918375939130783,False,L
GPT-5.5,1729g.png,grey,hazelnut,canary,,0.1419682502746582,0.3216649293899536,False,L
GPT-5.5,1729c.png,color,canary,canary,canary,0.2175930291414261,1.0000001192092896,True,L
GPT-5.5,1734g.png,grey,ice cream,donut,,0.22301888465881348,0.25933054089546204,False,L
GPT-5.5,1734c.png,color,donut,donut,,0.22301888465881348,0.25933054089546204,True,L
GPT-5.5,1745g.png,grey,pomegranate,blueberry,,0.08820659667253494,0.1882239282131195,False,H
GPT-5.5,1763g.png,grey,baseball,baseball,,0.2860281467437744,0.28552573919296265,True,M
GPT-5.5,1763c.png,color,pea,baseball,,0.2860281467437744,0.28552573919296265,False,M
GPT-5.5,1780g.png,grey,hill,hill,,0.2576705515384674,0.14088399708271027,True,L
GPT-5.5,1780c.png,color,lake,hill,,0.2576705515384674,0.14088399708271027,False,L
GPT-5.5,1791g.png,grey,cello,cello,cello,0.9999999403953552,0.1822451949119568,True,M
GPT-5.5,1791c.png,color,dog,cello,cello,0.9999999403953552,0.1822451949119568,False,M
GPT-5.5,1793g.png,grey,pizza,pizza,,0.31865745782852173,0.24240922927856445,True,L
GPT-5.5,1793c.png,color,umbrella,pizza,,0.31865745782852173,0.24240922927856445,False,L
GPT-5.5,1802g.png,grey,flower,splash,,0.22306324541568756,0.31358519196510315,False,M
GPT-5.5,1802c.png,color,splash,splash,,0.22306324541568756,0.31358519196510315,True,M
GPT-5.5,1803c.png,color,crab,crab,crab,0.20438076555728912,1.0,True,L
GPT-5.5,1821g.png,grey,thermometer,thermometer,thermometer,1.0,0.17651134729385376,True,H
GPT-5.5,1821c.png,color,newt,newt,,0.1155264675617218,0.2686936855316162,True,H
GPT-5.5,1823g.png,grey,chicken,chicken,,0.3062332570552826,0.1973617672920227,True,L
GPT-5.5,1823c.png,color,walnut,chicken,,0.3062332570552826,0.1973617672920227,False,L
GPT-5.5,1836g.png,grey,avocado,rhino,,0.1918375939130783,0.29384440183639526,False,M
GPT-5.5,1836c.png,color,rhino,rhino,rhino,0.15551258623600006,0.9999999403953552,True,M
GPT-5.5,1842g.png,grey,bracelet,radio,,0.2336459457874298,0.2876519560813904,False,L
GPT-5.5,1842c.png,color,radio,radio,radio,0.2582104206085205,1.0000001192092896,True,L
GPT-5.5,1853g.png,grey,baboon,baboon,,0.33272260427474976,0.3265528976917267,True,L
GPT-5.5,1853c.png,color,zebra,baboon,,0.33272260427474976,0.3265528976917267,False,L
GPT-5.5,1855g.png,grey,bull,bull,,0.40344443917274475,0.23147770762443542,True,M
GPT-5.5,1855c.png,color,onion,bull,,0.40344443917274475,0.23147770762443542,False,M
GPT-5.5,1856g.png,grey,broccoli,broccoli,broccoli,0.9999998807907104,0.20423971116542816,True,L
GPT-5.5,1856c.png,color,lake,broccoli,broccoli,0.9999998807907104,0.20423971116542816,False,L
GPT-5.5,1858g.png,grey,plum,couch,,0.21349643170833588,0.22848375141620636,False,L
GPT-5.5,1858c.png,color,couch,couch,couch,0.19650569558143616,1.0000001192092896,True,L
GPT-5.5,1864g.png,grey,dagger,carrot,,0.2365465611219406,0.3315981924533844,False,M
GPT-5.5,1864c.png,color,carrot,carrot,,0.2365465611219406,0.3315981924533844,True,M
GPT-5.5,1878g.png,grey,warthog,taco,,0.23233464360237122,0.2737296521663666,False,H
GPT-5.5,1878c.png,color,taco,taco,taco,0.08269339054822922,1.0000001192092896,True,H
GPT-5.5,1879c.png,color,pomegranate,sun,,0.2400377094745636,0.08820659667253494,False,L
GPT-5.5,1902g.png,grey,bag,bag,,0.33446136116981506,0.19368447363376617,True,L
GPT-5.5,1902c.png,color,table,bag,,0.33446136116981506,0.19368447363376617,False,L
GPT-5.5,1922g.png,grey,wind,parrot,,0.2518860995769501,0.31204041838645935,False,L
GPT-5.5,1928g.png,grey,spinach,sock,,0.16566888988018036,0.2836250066757202,False,L
GPT-5.5,1928c.png,color,sock,sock,,0.16566888988018036,0.2836250066757202,True,L
GPT-5.5,1955g.png,grey,song,baseball,baseball,0.27567678689956665,1.0000001192092896,False,L
GPT-5.5,1955c.png,color,baseball,baseball,baseball,0.27567678689956665,1.0000001192092896,True,L
GPT-5.5,1960g.png,grey,cauliflower,cow,,0.10752151906490326,0.3096834421157837,False,L
GPT-5.5,1960c.png,color,cow,cow,,0.10752151906490326,0.3096834421157837,True,L
GPT-5.5,1962g.png,grey,burger,burger,,0.29113340377807617,0.18295098841190338,True,L
GPT-5.5,1962c.png,color,chameleon,burger,,0.29113340377807617,0.18295098841190338,False,L
GPT-5.5,1963g.png,grey,ipod,ipod,,0.22219625115394592,0.22175878286361694,True,L
GPT-5.5,1963c.png,color,stove,ipod,,0.22219625115394592,0.22175878286361694,False,L
GPT-5.5,1975g.png,grey,porpoise,ginger,,0.2540111243724823,0.2865820825099945,False,L
GPT-5.5,1975c.png,color,ginger,ginger,,0.2540111243724823,0.2865820825099945,True,L
GPT-5.5,1988g.png,grey,pencil,dill,,0.24369341135025024,0.34656980633735657,False,L
GPT-5.5,1988c.png,color,dill,dill,,0.24369341135025024,0.34656980633735657,True,L
GPT-5.5,1989g.png,grey,bell,bell,bell,1.000000238418579,0.17814689874649048,True,L
GPT-5.5,1989c.png,color,mandarine,bell,,0.24619829654693604,0.1576867252588272,False,L
GPT-5.5,1993g.png,grey,desk,key,,0.2696298062801361,0.36848628520965576,False,L
GPT-5.5,1993c.png,color,key,key,,0.2696298062801361,0.36848628520965576,True,L
GPT-5.5,1997g.png,grey,fog,fog,,0.3027520179748535,0.23632211983203888,True,M
GPT-5.5,1997c.png,color,noodle,fog,,0.3027520179748535,0.23632211983203888,False,M
GPT-5.5,2014g.png,grey,sausage,fig,fig,0.27135294675827026,1.0000001192092896,False,M
GPT-5.5,2024g.png,grey,faucet,faucet,,0.19775670766830444,0.1798512488603592,True,M
GPT-5.5,2024c.png,color,boysenberry,faucet,,0.19775670766830444,0.1798512488603592,False,M
GPT-5.5,2025g.png,grey,cucumber,battery,,0.15874969959259033,0.23551274836063385,False,L
GPT-5.5,2025c.png,color,battery,battery,,0.15874969959259033,0.23551274836063385,True,L
GPT-5.5,2037g.png,grey,window,window,,0.40612879395484924,0.3062332570552826,True,L
GPT-5.5,2037c.png,color,chicken,chicken,chicken,0.27204519510269165,1.0,True,L
GPT-5.5,2039g.png,grey,soda,soup,,0.2785215973854065,0.3006680905818939,False,H
GPT-5.5,2039c.png,color,soup,soup,,0.2785215973854065,0.3006680905818939,True,H
GPT-5.5,2049g.png,grey,hamster,horse,horse,0.43715521693229675,1.0000001192092896,False,M
GPT-5.5,2049c.png,color,horse,horse,,0.26101988554000854,0.28580430150032043,True,M
GPT-5.5,2063g.png,grey,mountain,peanut,peanut,0.28043895959854126,1.000000238418579,False,L
GPT-5.5,2063c.png,color,peanut,peanut,,0.269178569316864,0.28714102506637573,True,L
GPT-5.5,2064g.png,grey,dictionary,dictionary,,0.25036951899528503,0.2404867559671402,True,L
GPT-5.5,2064c.png,color,multitool,dictionary,,0.25036951899528503,0.2404867559671402,False,L
GPT-5.5,2066g.png,grey,chamomile,blouse,,0.1941320151090622,0.35207661986351013,False,M
GPT-5.5,2066c.png,color,blouse,blouse,,0.1941320151090622,0.35207661986351013,True,M
GPT-5.5,2068g.png,grey,flower,flower,flower,1.0000001192092896,0.3883818984031677,True,M
GPT-5.5,2068c.png,color,car,car,,0.22306324541568756,0.3436860144138336,True,M
GPT-5.5,2094g.png,grey,lobster,lobster,,0.25552430748939514,0.2061481475830078,True,M
GPT-5.5,2094c.png,color,passionfruit,lobster,,0.25552430748939514,0.2061481475830078,False,M
GPT-5.5,2107g.png,grey,rosemary,yak,,0.15433256328105927,0.49539345502853394,False,M
GPT-5.5,2107c.png,color,yak,yak,,0.15433256328105927,0.49539345502853394,True,M
GPT-5.5,2108g.png,grey,lion,lion,lion,1.0,0.21520981192588806,True,L
GPT-5.5,2108c.png,color,beet,lion,lion,1.0,0.21520981192588806,False,L
